ISBN,상품명,저자,출판사,분야,권수,누적권수
9788925574103.0,나는 AI와 공부한다,살만 칸,알에이치코리아,인문,2.0,143.0
9791172590406.0,태연한 거짓말 3,김언희,파란미디어,소설,1.0,144.0
9791193152317.0,오답 노트를 쓰는 시간,유이영 외,우주나무,청소년,1.0,145.0
9788958209034.0,미스터 사이언스,한성구,궁리,인문,1.0,146.0
9791192385310.0,처단,리 차일드,오픈하우스,소설,1.0,147.0
9791192706368.0,3분 도시 인문학 수업,신정아,아날로그(글담),인문,1.0,148.0
9791192638522.0,바다는 다시 바다가 된다,김영탁,안온북스,소설,1.0,149.0
9791165703110.0,우리말 나들이 어휘력 편,MBC 아나운서국,창비교육,인문,1.0,150.0
9791193149393.0,밤의 이정표,아시자와 요,블루홀식스(블루홀6),소설,1.0,151.0
9791140712250.0,지능의 기원,맥스 베넷,더퀘스트,인문,1.0,152.0
9791193235447.0,스프링,온다 리쿠,클레이하우스,소설,1.0,153.0
9791194096047.0,잡학사전 통조림 2,엔사이클로넷,사람과나무사이,인문,1.0,154.0
9791193324424.0,거짓말에 귀 기울일 것,에이미 틴터라,북플라자,소설,1.0,155.0
9791193650141.0,존재하는 모든 것은 사라지지 않는다,제인 로버츠,터닝페이지,인문,1.0,156.0
9791193367094.0,스타터 빌런(Starter Villain),존 스칼지,구픽,소설,1.0,157.0
9791185121567.0,평화로운 삶,메리 매켄지,한국NVC출판사,인문,1.0,158.0
9791193635353.0,방앗간 공격,에밀 졸라,빛소굴,소설,1.0,159.0
9791198524355.0,질문으로 탐구하는 그림책 수업,그림책사랑교사모임,케렌시아,인문,1.0,160.0
9791194293569.0,위싱 머신,소피 쿠슨스,오팬하우스,소설,1.0,161.0
9788964362730.0,지혜의 쓸모,발타사르 그라시안,삼인,인문,1.0,162.0
9791197993480.0,마티스×스릴러,정해연 외,마티스블루,소설,1.0,163.0
9791191724776.0,중등 교사를 위한 생활지도 특급 처방전,신영환 외,교육과실천,인문,1.0,164.0
9791193584804.0,책 고르는 책,손민규,포르체,인문,1.0,165.0
9791193937150.0,내가 원하는 것을 나도 모를 때,전승환,북로망스,인문,2.0,167.0
9791169813471.0,철학으로 돌파하라,안광복,사계절,인문,1.0,168.0
9791171830824.0,사람의 향기,조윤제,유노북스,인문,2.0,170.0
9791168261594.0,품격,상지엔지니어링건축사사무소,호밀밭,인문,1.0,171.0
9791164251742.0,훌륭한 학교는 어떻게 팀이 되는가,새로운학교네트워크 외,에듀니티,인문,1.0,172.0
9791194508038.0,베싸의 말문이 트이는 영어육아,박정은,온더페이지,가정/육아,2.0,174.0
3904000504926.0,보그(2025년 02월호)(A형),두산매거진 편집부,두산매거진,잡지,1.0,175.0
9791191013832.0,이토록 위대한 장,줄리아 엔더스,북라이프,건강,1.0,176.0
9788932043470.0,서울 오아시스,김채원,문학과지성사,소설,1.0,177.0
9791173180644.0,퀸틴 블레이크,제니 우글로,크루,예술/대중문화,1.0,178.0
9788972918622.0,"알고리즘, 패러다임, 법",로레인 대스턴,까치,과학,1.0,179.0
9791172109011.0,시간관리의 정석,오스기 준,동양북스,자기계발,1.0,180.0
9791193070055.0,엘더스크롤 공식 요리책 2,빅토리아 로젠탈 외,도토리,요리,1.0,181.0
9791172639143.0,영어필사책 2,AUREO BAE,바른북스,외국어,1.0,182.0
9791191369021.0,버텨온 시간은 전부 내 힘이었다,신하영,딥앤와이드,시/에세이,2.0,184.0
9791140714407.0,인생 처음으로 세계사가 재밌다,니시무라 데이지,더퀘스트,역사/문화,1.0,185.0
9791193166857.0,교육과 기술의 경주,클라우디아 골딘 외,생각의힘,경제/경영,1.0,186.0
9791192097954.0,"아이에게 딱 하나만 가르친다면, 자기 조절",김효원,웨일북(whalebooks),가정/육아,1.0,187.0
9788959408603.0,안경과 콘택트렌즈,공대일,시대의창,건강,1.0,188.0
3904000504933.0,보그(2025년 02월호)(B형),두산매거진 편집부,두산매거진,잡지,1.0,189.0
9788932912936.0,한낮의 열기(The Heat of the Day),엘리자베스 보엔,열린책들,소설,1.0,190.0
9788967215552.0,DAY6 가사 필사집,삼호ETM 편집부,삼호ETM,예술/대중문화,2.0,192.0
9791167741851.0,어떻게 과학을 사랑하지 않을 수 있겠어,이윤종,어크로스,과학,1.0,193.0
9788901290669.0,운명을 바꾸는 말하기 수업,이영선,웅진지식하우스,자기계발,2.0,195.0
9788940648902.0,올 오브 더 라떼아트(All of the Latte Art),한준섭 외,크라운출판사,요리,1.0,196.0
9791193992456.0,"쓰다 보니, 달다: 명언편",이민호,롱테일북스,외국어,1.0,197.0
9791193240557.0,목가,베르길리우스,읻다(ITTA),시/에세이,1.0,198.0
9791171179305.0,전쟁의 문화,존 다우어,아르테(arte),역사/문화,1.0,199.0
9791168731363.0,나는 당신의 자매입니다,오드리 로드,오월의봄,정치/사회,1.0,200.0
9791194280491.0,헌법 필사,대한민국,더휴먼,정치/사회,1.0,201.0
3904000504940.0,보그(2025년 02월호)(C형),두산매거진 편집부,두산매거진,잡지,1.0,202.0
9791197987694.0,요가 아나토미,레슬리 카미노프 외,푸른솔,건강,1.0,203.0
9788935678907.0,금지된 일기장,알바 데 세스페데스,한길사,소설,1.0,204.0
9791161255248.0,그니까 미술 작가가 뭐냐면,이계진,더디퍼런스,예술/대중문화,1.0,205.0
9791169093392.0,거울 보는 물고기,고다 마사노리,글항아리,과학,1.0,206.0
9791192421421.0,오십의 태도,정은숙,시프,자기계발,1.0,207.0
9791193003626.0,망치의 개그림 일기,김충원,진선북스,시/에세이,1.0,208.0
9788963196206.0,1970년대 민주화운동과 개신교,이상록 외,북멘토,역사/문화,1.0,209.0
3904000504957.0,보그(2025년 02월호)(D형),두산매거진 편집부,두산매거진,잡지,1.0,210.0
9788936431525.0,허밍,최정원,창비,소설,1.0,211.0
9791168230897.0,식물을 보는 새로운 눈,마거릿 코훈 외,안그라픽스,예술/대중문화,1.0,212.0
9791198490001.0,다 큰 사람들을 위한 수학책,에디 우,반반북스,과학,1.0,213.0
9791198902511.0,성격을 바꿔야 운명이 바뀐다,얼 나이팅게일,포텐업,자기계발,1.0,214.0
9791130660882.0,당신이 더 귀하다,백경,다산북스,시/에세이,1.0,215.0
9791169093408.0,제3의 식탁,댄 바버,글항아리,역사/문화,1.0,216.0
9791171830800.0,오십에 읽는 맹자,조형권,유노북스,인문,2.0,218.0
3904000504964.0,보그(2025년 02월호)(E형),두산매거진 편집부,두산매거진,잡지,1.0,219.0
9791138485005.0,네가 손에 쥐어야 했던 황금에 대해서,오가와 사토시,소미미디어,소설,1.0,220.0
9791192999692.0,세상을 바꾼 미술사 이야기,박은선,빌리버튼,예술/대중문화,1.0,221.0
9791173320149.0,모든 것은 예측 가능하다,톰 치버스,김영사,과학,1.0,222.0
9791192884417.0,부드러운 재료,김리윤,봄날의책,시/에세이,1.0,223.0
9791138383578.0,클래식이 이토록 가까울 줄이야,문수미,시대인,예술/대중문화,1.0,224.0
9788962626421.0,명령에 따랐을 뿐!?,에밀리 A. 캐스파,동아시아,과학,1.0,225.0
