ISBN,상품명,저자,출판사,분야,권수,누적권수
9788953118324,일대일 제자양육 성경공부 (스프링) - 개정3판,두란노 편집부 (지은이),두란노,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 교회>성경공부교재>청장년,2,191
9788932822204,IVP 성경연구주석 구약 : 예언서·구약 외경·위경,"존 로저슨 (엮은이), 강성열, 김근주, 김동혁 (옮긴이)",IVP,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,192
9791197960611,성경혁명 - 문자주의와 근본주의를 떨치는 성경독법,김용민 (지은이),평화나무,국내도서>종교/역학>기독교(개신교)>성경의 이해,2,194
9791198935335,하나님 나라 제자 훈련 워크북 3 : 세상에 대한 유일한 이야기 : 성경 - 수정판,이종필 (지은이),목양,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 교회>성경공부교재>청장년,1,195
9788941250333,[색상랜덤] 새한글성경 NKT77 - 중(中).단본.무색인 - 가죽투톤.랩핑,대한성서공회 성경 편집팀 (엮은이),대한성서공회,국내도서>종교/역학>기독교(개신교)>성경/찬송가>한글성경>개역한글판,1,196
9791161292922,여친 땜에 구약성경 읽는다 1,"김민석 (지은이), 김영화(김굿맨) (그림)",새물결플러스,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>신학일반,1,197
9772092879000,한중대조 매일성경 2025.1.2,매일성경 편집부 (지은이),성서유니온선교회(잡지),국내도서>잡지>종교,1,198
9788960970465,성경 파노라마 - 정식 계약본,"테리 홀 (지은이), 배응준 (옮긴이)",규장(규장문화사),국내도서>종교/역학>기독교(개신교)>성경의 이해,1,199
9788904132232,4주 완성 온·오프라인 맞춤 이야기로 본 새가족 성경공부,김민정 (지은이),생명의말씀사,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 교회>성경공부교재>새신자,1,200
9791195543779,어? 성경이 읽어지네! 구약 - 15년 만에 다시 쓴,이애실 (지은이),성경방,국내도서>종교/역학>기독교(개신교)>기독교(개신교) 목회/신학>설교/성경연구,1,201
9788960306134,돈은 좋지만 재테크는 겁나는 너에게 - 혼자서는 막막한 20대에게 뿅글이가 알려주는 돈을 다루고 불리는 비밀,뿅글이 (지은이),황금부엉이,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,202
9788959750573,"대한민국 20대, 재테크에 미쳐라",정철진 (지은이),한즈미디어(한스미디어),국내도서>경제경영>재테크/투자>재테크/투자 일반,1,203
9791140712090,"월급쟁이 재테크 상식사전 - 소중한 내 월급을 모으고 불리기 위한 최적의 솔루션 66, 최신 개정판",우용표 (지은이),길벗,국내도서>경제경영>재테크/투자>재테크/투자 일반,2,205
9791164847488,"월 500만 원 따박따박 받는 공간대여 재테크 - 단기임대, 에어비앤비부터 파티룸, 렌탈스튜디오, 공유오피스까지",김선달 (지은이),매일경제신문사,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,206
9791157746972,아기곰의 재테크 불변의 법칙 - 전면 개정 리프레시,아기곰 (지은이),아라크네,국내도서>경제경영>재테크/투자>부동산/경매,1,207
9791173073267,AI 핀테크와 재테크,임명수 (지은이),커뮤니케이션북스,국내도서>컴퓨터/모바일>인공지능,1,208
9791186647349,"맘마미아 월급 재테크 실천법 - 이 책대로 하면 당신도 월급쟁이 부자가 된다!, 전면개정판",맘마미아 (지은이),진서원,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,209
8809914426843,"재테크의 여왕 슈엔슈 자산관리 가계부 2025 (저자 친필 사인 한정판, 양장)",슈엔슈 (지은이),참돌,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,210
9791170431978,"내 집 없이 월세 받는 쉐어하우스, 에어비앤비, 파티룸 재테크",신재 (지은이),원앤원북스,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,211
9788931587210,유튜브 쇼츠 60초 재테크 - AI 도구를 활용한 쇼츠 만들기,김선웅 (지은이),성안당,국내도서>컴퓨터/모바일>e비즈니스/창업>e-비즈니스/온라인 창업,1,212
9791186647516,"맘마미아 푼돈 목돈 재테크 실천법 - 누구나 푼돈으로 월 100만원 모으는 비법!, 최신 전면개정판",맘마미아 (지은이),진서원,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,213
9791140706167,"달러 투자 무작정 따라하기 - 단 한 번도 잃지 않은, 성공률 100%의 달러 투자 공식",박성현 (지은이),길벗,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,214
9791170435457,인생을 바꾸는 봉지라면 재테크 - 돈은 불리고 세금은 줄이는 글로벌 ETF 레시피 16,김광주 (지은이),원앤원북스,국내도서>경제경영>재테크/투자>재테크/투자 일반,1,215
9791164846184,꼬마빌딩 레벨업 재테크 - 월세 천만 원과 시세차익 만드는 빌딩 리모델링,임동권 (지은이),매일경제신문사,국내도서>경제경영>재테크/투자>부동산/경매,1,216
9791140702343,"주식투자 무작정 따라하기 - 100만 왕초보가 감동한 최고의 주식투자 입문서, 2023년 최신개정판",윤재수 (지은이),길벗,국내도서>경제경영>재테크/투자>주식/펀드,1,217
