ISBN,상품명,저자,출판사,분야,권수,누적권수
9791198999108,초역 논어 - 2500년 고전에서 찾는 인생의 진리,"야스토미 아유미 (지은이), 고운기 (옮긴이)",레디투다이브,국내도서>인문학>동양철학>유교철학/주역>공자/논어,1.0,761.0
9791166188794,"경찰 헌법도약 동형모의고사 - 25년 1차 경찰시험대비 최신판, 총14회분, 280문",이국령 (지은이),윌비스(미래와사람 한림법학원),국내도서>수험서/자격증>공무원 수험서>경찰공무원(승진)>기타 과목,1.0,762.0
9791193939130,고전이 답했다 마땅히 살아야 할 삶에 대하여,고명환 (지은이),라곰,국내도서>자기계발>성공>성공학,2.0,764.0
9791187011606,수레바퀴 아래서 (오리지널 초판본 표지디자인) - 최신 원전 완역본,"헤르만 헤세 (지은이), 박지희 (옮긴이), 김선형 (해설)",코너스톤,국내도서>소설/시/희곡>독일소설,1.0,765.0
9788925574028,"당신은 사업가입니까 - 창업 전 스스로에게 물어야 할 질문들, 출간 10주년 기념 개정판","캐럴 로스 (지은이), 유정식 (옮긴이)",알에이치코리아(RHK),국내도서>경제경영>창업/취업/은퇴>창업정보,1.0,766.0
9788959897223,트렌드 코리아 2025 - 2025 대한민국 소비트렌드 전망,"김난도, 전미영, 최지혜, 권정윤, 한다혜, 이혜원, 이준영, 이향은, 추예린, 전다현 (지은이)",미래의창,국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반,1.0,767.0
9791191587760,사물의 투명성 - 경험의 본질을 관조하다,"루퍼트 스파이라 (지은이), 김주환 (옮긴이)",퍼블리온,국내도서>인문학>심리학/정신분석학>교양 심리학,1.0,768.0
9788934991328,사피엔스 : 그래픽 히스토리 Vol.1 - 인류의 탄생,"유발 하라리 (원작), 다니엘 카사나브 (그림), 김명주 (옮긴이), 다비드 반데르묄렝 (각색)",김영사,국내도서>인문학>교양 인문학,1.0,769.0
9791190669238,1984 (오리지널 초판본 표지 디자인),"조지 오웰 (지은이), 박유진 (옮긴이), 박경서 (해설)",코너스톤,국내도서>소설/시/희곡>영미소설,1.0,770.0
9791198375339,셰리,"시도니 가브리엘 콜레트 (지은이), 장소미 (옮긴이)",녹색광선,국내도서>소설/시/희곡>프랑스소설,1.0,771.0
