ISBN,상품명,저자,출판사,분야,권수,누적권수
9788949120768,(내인생의) 스프링 캠프=정유정 장편소설/Spring camp,정유정,비룡소,한국문학,2,279
9788937832673,달팽이 식당 =Restaurant  カタツムリ ,오가와 이토 지음 ;권남희 옮김,미래엔 컬처그룹,일본문학 및 기타 아시아 제문학,2,281
9788926390559,플래티나 데이터 =히가시노 게이고 소설 /Platina data ,지은이: 히가시노 게이고 ;옮긴이: 이정환,서울문화사,일본문학 및 기타 아시아 제문학,2,283
9791157522187,읽어보시집 :SNS 스타 작가 최대호의 읽으면 기분 좋아지는 시 ,최대호 지음,넥서스,한국문학,2,285
9788983921468,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,영미문학,2,287
9788983921451,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,영미문학,2,289
9788982735745,눈물을 마시는 새,이영도 지음,황금가지,한국문학,2,291
9788934946557,유퀴즈에서 만난 사람들 :이언주 에세이 ,지은이: 이언주,김영사,한국문학,2,293
9788936439545,우리의 여름에게 :최지은 에세이 ,지은이: 최지은,창비,한국문학,2,295
9788937473272,모두 너와 이야기하고 싶어 해 :은모든 장편소설 ,지은이: 은모든,민음사,한국문학,2,297
9788959134823,사랑의 생애 :이승우 장편소설 ,지은이: 이승우,위즈덤하우스,한국문학,2,299
9788960908628,까다롭게 좋아하는 사람 ,지은이: 엄지혜,마음산책,한국문학,2,301
9791167140739,황금종이 :조정래 장편소설 ,저자: 조정래,해냄(해냄출판사),한국문학,2,303
9788932040448,나는 오래된 거리처럼 너를 사랑하고 :진은영 시집 ,지은이: 진은영,문학과지성사,한국문학,2,305
9788937473302,초급 한국어 :문지혁 장편소설 ,지은이: 문지혁,민음사,한국문학,2,307
9788960908130,나 자신으로 살아가기 ,지은이: 임경선,마음산책,한국문학,2,309
9791160748604,내가 죽였다 :정해연 장편소설 ,지은이: 정해연,연담L,한국문학,2,311
9788936477837,밀크맨 :애나 번스 장편소설 ,지은이: 애나 번스 ;옮긴이: 홍한별,창비,영미문학,2,313
